date,temperature
1702854302000,-2.8999999999999986
1702854887000,-2.8999999999999986
1702855472000,-2.8999999999999986
1702856057000,-2.8000000000000007
1702856687000,-2.8000000000000007
1702857272000,-3
1702857857000,-2.8999999999999986
1702858487000,-2.8000000000000007
1702859072000,-2.8999999999999986
1702859657000,-3
1702860287000,-3
1702860872000,-2.8999999999999986
1702861457000,-2.8999999999999986
1702862087000,-2.8999999999999986
1702862672000,-3
1702863257000,-2.8999999999999986
1702863887000,-3.1999999999999993
1702864472000,-2.8999999999999986
1702865057000,-3
1702865687000,-2.8999999999999986
1702866272000,-2.8999999999999986
1702866857000,-3
1702867487000,-2.8999999999999986
1702868072000,-3
1702868657000,-3.099999999999998
1702869287000,-3
1702869872000,-3
1702870457000,-2.9999999999999982
1702871087000,-2.9000000000000004
1702871671000,-2.9000000000000004
1702872256000,-2.9999999999999982
1702872886000,-2.9999999999999982
1702873471000,-2.799999999999999
1702874056000,-2.9000000000000004
1702874686000,-2.9999999999999982
1702875271000,-2.9999999999999982
1702875856000,-2.9000000000000004
1702876486000,-3.0999999999999996
1702877071000,-2.9999999999999982
1702877656000,-3.0999999999999996
1702878286000,-2.8999999999999986
1702878871000,-3
1702879456000,-3
1702880086000,-3.1999999999999993
1702880671000,-3.1999999999999993
1702881256000,-3.3000000000000007
1702881886000,-3
1702882471000,-3.099999999999998
1702883056000,-3.200000000000003
1702883686000,-3.200000000000003
1702884271000,-3.200000000000003
1702884856000,-3.1999999999999993
1702885486000,-3.099999999999998
1702886071000,-3.1999999999999993
1702886656000,-3.099999999999998
1702887286000,-3.099999999999998
1702887871000,-3.3000000000000007
1702888456000,-3.1999999999999993
1702889086000,-3.1999999999999993
1702889678000,-2.900000000000002
1702889716000,-2.8000000000000007
1702889761000,-2.6999999999999993
1702889806000,-2.5
1702889851000,-2.3999999999999986
1702889896000,-2.299999999999997
1702889941000,-2.299999999999997
1702889986000,-2.3000000000000007
1702890031000,-2.1999999999999993
1702890076000,-2
1702890121000,-2
1702890166000,-2
1702890211000,-1.8999999999999986
1702890256000,-1.8000000000000007
1702890301000,-1.8000000000000007
1702890346000,-1.8000000000000007
1702890391000,-1.7000000000000028
1702890436000,-1.6000000000000014
1702890481000,-1.5
1702890526000,-1.3999999999999986
1702890571000,-1.3000000000000007
1702890616000,-1.5
1702890661000,-1.3999999999999986
1702890706000,-1
1702890751000,-0.8999999999999986
1702890796000,-1.0999999999999979
1702890841000,-1.0999999999999979
1702890886000,-0.9000000000000021
1702890931000,-0.9000000000000021
1702890976000,-0.8000000000000007
1702891021000,-0.7000000000000028
1702891066000,-0.8000000000000007
1702891111000,-0.5999999999999979
1702891156000,-0.5
1702891201000,-0.5
1702891246000,-0.40000000000000213
1702891291000,-0.3000000000000007
1702891336000,-0.3000000000000007
1702891381000,-0.3000000000000007
1702891426000,-0.3000000000000007
1702891471000,-0.09999999999999787
1702891516000,0
1702891561000,0.09999999999999787
1702891606000,0.09999999999999787
1702891651000,0.09999999999999787
1702891696000,0.29999999999999716
1702891741000,0.29999999999999716
1702891786000,0.09999999999999787
1702891831000,0.1999999999999993
1702891876000,0.3000000000000007
1702891921000,0.3000000000000007
1702891966000,0.3999999999999986
1702892011000,0.3999999999999986
1702892056000,0.5
1702892101000,0.5999999999999979
1702892146000,0.5999999999999979
1702892191000,0.5999999999999979
1702892236000,0.9000000000000021
1702892281000,0.9000000000000021
1702892326000,0.8000000000000007
1702892371000,0.8999999999999986
1702892416000,0.8000000000000007
1702892461000,0.8000000000000007
1702892506000,1
1702892551000,1.0999999999999979
1702892596000,1
1702892641000,1.1000000000000014
