date,rms
1703315052000,1.2548828125
1703315135000,1.2548828125
1703315315000,1.0595703125
1703315495000,0.9716796875
1703315675000,0.97900390625
1703315855000,0.95703125
1703316215000,1.28173828125
1703316755000,1.07177734375
1703316935000,1.03271484375
1703317115000,0.93994140625
1703317295000,1.05712890625
1703317475000,1.07666015625
1703317655000,1.162109375
1703317835000,0.85693359375
1703318015000,1.09130859375
1703318195000,1.06689453125
1703318375000,1.15478515625
1703318555000,0.92041015625
1703318735000,0.93017578125
1703318915000,1.01806640625
1703319095000,0.92529296875
1703319275000,1.0498046875
1703319455000,0.90576171875
1703319635000,0.93017578125
1703319815000,1.1328125
1703319995000,0.9765625
1703320175000,0.88623046875
1703320355000,1.0986328125
1703320535000,1.1962890625
1703320715000,1.07666015625
1703320895000,0.9326171875
1703321074000,1.025390625
1703321254000,1.1083984375
1703321434000,1.025390625
1703321614000,0.98388671875
1703321794000,0.9912109375
1703321974000,1.23046875
1703322154000,1.07421875
1703322334000,0.888671875
1703322514000,1.01318359375
1703322694000,0.99609375
1703322874000,0.95703125
1703323054000,1.2451171875
1703323234000,0.99853515625
1703323414000,1.09375
1703323594000,1.23046875
1703323774000,0.87890625
1703323954000,1.2744140625
1703324134000,1.03759765625
1703324314000,1.07177734375
1703324494000,0.83740234375
1703324674000,1.14501953125
1703324854000,0.9619140625
1703325034000,0.966796875
1703325214000,0.966796875
1703325394000,0.91552734375
1703325574000,0.77880859375
1703325754000,0.89111328125
1703325934000,1.1669921875
1703326114000,1.1083984375
1703326294000,0.99609375
1703326474000,1.03515625
1703326610000,0.94970703125
1703326699000,0.94970703125
1703326879000,0.94482421875
1703327059000,0.7275390625
1703327239000,1.0498046875
1703327419000,1.015625
1703327599000,1.30615234375
1703327779000,1.08154296875
1703327959000,0.84716796875
1703328139000,1.11083984375
1703328319000,0.88623046875
1703328499000,1.0791015625
1703328679000,1.1328125
1703328859000,1.03759765625
1703329039000,0.9326171875
1703329219000,1.1572265625
1703329399000,1.23291015625
1703329579000,0.9765625
