date,temperature
1703315367000,-0.6999999999999993
1703315412000,-0.6999999999999993
1703315457000,-0.5999999999999996
1703315502000,-0.5
1703315547000,-0.6000000000000014
1703315592000,-0.5
1703315637000,-0.5999999999999979
1703315682000,-0.4999999999999982
1703315727000,-0.6000000000000014
1703315772000,-0.5
1703315817000,-0.5999999999999979
1703315862000,-0.5
1703315907000,-0.5
1703315952000,-0.5
1703315997000,-0.5999999999999979
1703316042000,-0.5
1703316087000,-0.5
1703316132000,-0.3999999999999986
1703316177000,-0.1999999999999993
1703316222000,-0.1999999999999993
1703316267000,-0.29999999999999716
1703316312000,-0.1999999999999993
1703316357000,-0.3000000000000007
1703316402000,-0.3000000000000007
1703316447000,-0.1999999999999993
1703316492000,-0.10000000000000142
1703316537000,-0.20000000000000284
1703316582000,-0.10000000000000142
1703316627000,-0.10000000000000142
1703316672000,0
1703316717000,0
1703316762000,-0.09999999999999787
1703316807000,0
1703316852000,-0.1999999999999993
1703316897000,-0.09999999999999787
1703316942000,0.10000000000000142
1703316987000,0.1999999999999993
1703317032000,0.09999999999999787
1703317077000,0.1999999999999993
1703317122000,0.10000000000000142
1703317167000,0.20000000000000284
1703317212000,0.10000000000000142
1703317257000,0.1999999999999993
1703317302000,0.3000000000000007
1703317347000,0.3000000000000007
1703317392000,0.3000000000000007
1703317437000,0.3000000000000007
1703317482000,0.3999999999999986
1703317527000,0.3999999999999986
1703317572000,0.1999999999999993
1703317617000,0.3000000000000007
1703317662000,0.40000000000000213
1703317707000,0.40000000000000213
1703317752000,0.40000000000000213
1703317797000,0.5
1703317842000,0.3999999999999986
1703317887000,0.3999999999999986
1703317932000,0.5
1703317977000,0.5
1703318022000,0.3999999999999986
1703318067000,0.3999999999999986
1703318112000,0.8000000000000007
1703318157000,0.8000000000000007
1703318202000,0.8000000000000007
1703318247000,0.8000000000000007
1703318292000,0.5
1703318337000,0.5999999999999979
1703318382000,0.6999999999999993
1703318427000,0.6999999999999993
1703318472000,0.6999999999999993
1703318517000,0.8000000000000007
1703318562000,0.8999999999999986
1703318607000,0.8999999999999986
1703318652000,0.7999999999999972
1703318697000,0.8999999999999986
1703318742000,0.8999999999999986
1703318787000,1
1703318832000,1
1703318877000,1
1703318922000,1
1703318967000,1.0999999999999979
1703319012000,1.0999999999999979
1703319057000,1.0999999999999979
1703319102000,1.1000000000000014
1703319147000,1.1999999999999993
1703319192000,1.2999999999999972
1703319237000,1.2999999999999972
1703319282000,1.1999999999999993
1703319327000,1.3000000000000007
1703319372000,1.1000000000000014
1703319417000,1.2000000000000028
1703319462000,1.4000000000000021
1703319507000,1.4000000000000021
1703319552000,1.2000000000000028
1703319597000,1.3000000000000007
1703319642000,1.3999999999999986
1703319687000,1.3999999999999986
1703319732000,1.3000000000000007
1703319777000,1.4000000000000021
1703319822000,1.5
1703319867000,1.5999999999999979
1703319912000,1.5999999999999979
1703319957000,1.5999999999999979
1703320002000,1.3999999999999986
1703320047000,1.5
1703320091000,1.6000000000000014
1703320136000,1.7000000000000028
1703320182000,1.6000000000000014
1703320226000,1.6000000000000014
1703320271000,1.7000000000000028
1703320316000,1.7000000000000028
1703320362000,1.8999999999999986
1703320406000,1.8999999999999986
1703320451000,1.6999999999999993
1703320496000,1.6999999999999993
1703320542000,1.8000000000000007
1703320586000,1.8000000000000007
1703320631000,2
1703320676000,2
1703320722000,1.7999999999999972
1703320766000,1.7999999999999972
1703320811000,1.8999999999999986
1703320856000,2
1703320902000,2
1703320946000,2.1000000000000014
1703320991000,2.1000000000000014
1703321036000,2.1000000000000014
1703321082000,2
1703321126000,2
1703321171000,1.8000000000000007
1703321216000,1.8000000000000007
1703321262000,2
1703321306000,2
1703321351000,2
1703321396000,2.1000000000000014
1703321442000,2
1703321486000,2
1703321531000,2.299999999999997
1703321576000,2.299999999999997
1703321622000,2.099999999999998
1703321666000,2.099999999999998
1703321711000,2
1703321756000,2.1000000000000014
1703321802000,2.1000000000000014
1703321846000,2.1000000000000014
1703321891000,2.400000000000002
1703321936000,2.400000000000002
