date,temperature
1702940435000,-1.9000000000000021
1702940480000,-1.9000000000000021
1702940525000,-1.9000000000000021
1702940571000,-1.9000000000000021
1702940615000,-1.9000000000000021
1702940660000,-1.9000000000000021
1702940705000,-1.9000000000000021
1702940751000,-1.9000000000000021
1702940795000,-1.8000000000000007
1702940840000,-1.8000000000000007
1702940885000,-1.8000000000000007
1702940931000,-1.8000000000000007
1702940975000,-1.9000000000000021
1702941020000,-2
1702941065000,-2
1702941111000,-2
1702941155000,-1.8999999999999986
1702941200000,-1.8999999999999986
1702941245000,-2
1702941291000,-2
1702941335000,-1.8999999999999986
1702941380000,-2
1702941425000,-2.1000000000000014
1702941471000,-2.1000000000000014
1702941515000,-2.1000000000000014
1702941560000,-2.1000000000000014
1702941605000,-2
1702941651000,-2
1702941695000,-1.9000000000000021
1702941740000,-1.9000000000000021
1702941785000,-2
1702941831000,-2
1702941875000,-2
1702941920000,-2
1702941965000,-2
1702942011000,-2
1702942055000,-2.1000000000000014
1702942100000,-2.1000000000000014
1702942145000,-2.1000000000000014
1702942191000,-2.1000000000000014
1702942235000,-2.1999999999999993
1702942280000,-2.299999999999997
1702942325000,-2
1702942371000,-2
1702942415000,-2.099999999999998
1702942460000,-2.099999999999998
1702942505000,-2.099999999999998
1702942551000,-2.099999999999998
1702942595000,-2
1702942640000,-2
1702942685000,-2.099999999999998
1702942731000,-2.099999999999998
1702942775000,-2
1702942820000,-2
1702942865000,-2
1702942911000,-2
1702942955000,-2.099999999999998
1702943000000,-2.099999999999998
1702943045000,-2
1702943091000,-2
1702943135000,-2.099999999999998
1702943180000,-2.099999999999998
1702943225000,-2.1999999999999993
1702943270000,-2.099999999999998
1702943315000,-2.1000000000000014
1702943360000,-2.1000000000000014
1702943405000,-2.1000000000000014
1702943450000,-2.1000000000000014
1702943495000,-2.1000000000000014
1702943540000,-2.1000000000000014
1702943585000,-2.1000000000000014
1702943630000,-2.1000000000000014
1702943675000,-2
1702943720000,-2
1702943765000,-2.3000000000000007
1702943810000,-2.400000000000002
1702943855000,-2.1000000000000014
1702943900000,-2.1000000000000014
1702943945000,-2.1000000000000014
1702943990000,-2.1000000000000014
1702944035000,-2.200000000000003
1702944080000,-2.200000000000003
1702944125000,-2.200000000000003
1702944170000,-2.200000000000003
1702944215000,-2.1000000000000014
1702944260000,-2.1000000000000014
1702944305000,-2.200000000000003
1702944350000,-2.200000000000003
1702944395000,-2.1000000000000014
1702944440000,-2.1000000000000014
1702944485000,-2.200000000000003
1702944530000,-2.200000000000003
1702944575000,-2.200000000000003
1702944620000,-2.200000000000003
1702944665000,-2.200000000000003
1702944710000,-2.200000000000003
1702944755000,-2.200000000000003
1702944800000,-2.200000000000003
1702944845000,-2.1000000000000014
1702944890000,-2.1000000000000014
1702944935000,-2.1999999999999993
1702944980000,-2.1999999999999993
1702945025000,-2.3000000000000007
1702945070000,-2.3000000000000007
1702945115000,-2.1999999999999993
1702945160000,-2.1999999999999993
1702945205000,-2.1999999999999993
1702945250000,-2.1999999999999993
1702945295000,-2.3000000000000007
1702945340000,-2.400000000000002
1702945385000,-2.3000000000000007
1702945430000,-2.400000000000002
1702945475000,-2.3000000000000007
1702945520000,-2.3000000000000007
1702945565000,-2.3000000000000007
1702945610000,-2.3000000000000007
1702945655000,-2.3000000000000007
1702945700000,-2.3000000000000007
1702945745000,-2.400000000000002
1702945790000,-2.400000000000002
1702945835000,-2.1999999999999993
1702945880000,-2.1999999999999993
1702945925000,-2.400000000000002
1702945970000,-2.400000000000002
1702946015000,-2.400000000000002
1702946060000,-2.400000000000002
1702946105000,-2.3000000000000007
1702946150000,-2.3000000000000007
1702946195000,-2.1999999999999993
1702946240000,-2.1999999999999993
1702946285000,-2.400000000000002
1702946330000,-2.400000000000002
1702946375000,-2.400000000000002
1702946420000,-2.400000000000002
1702946465000,-2.1999999999999993
1702946510000,-2.1999999999999993
1702946555000,-2.3000000000000007
1702946600000,-2.3000000000000007
1702946645000,-2.400000000000002
1702946690000,-2.5
1702946735000,-2.5
1702946780000,-2.400000000000002
1702946825000,-2.299999999999997
1702946870000,-2.299999999999997
1702946915000,-2.3999999999999986
1702946960000,-2.3999999999999986
1702947005000,-2.3999999999999986
1702947050000,-2.3999999999999986
1702947095000,-2.299999999999997
1702947140000,-2.299999999999997
