Machine 1 - 2_Motor DE - 5c1382 date,Machine 1 - 2_Motor DE - 5c1382 rms,Machine 1 - 1_Motor NDE - 5c132d date,Machine 1 - 1_Motor NDE - 5c132d rms
1702959245000,1058.837890625,1702959328000,1093.994140625
1702959290000,1058.837890625,1702959509000,1094.970703125
1702959470000,1061.5234375,1702959553000,1094.970703125
1702959650000,1060.791015625,1702959733000,1092.7734375
1702959830000,1059.08203125,1702959913000,1094.7265625
1702960010000,1061.279296875,1702960093000,1092.7734375
1702960190000,1063.720703125,1702960273000,1094.7265625
1702960370000,1061.03515625,1702960453000,1093.75
1702960550000,1058.10546875,1702960633000,1095.703125
1702960730000,1062.01171875,1702960813000,1094.482421875
1702960910000,1060.05859375,1702960993000,1094.23828125
1702961090000,1061.5234375,1702961173000,1096.19140625
1702961270000,1059.814453125,1702961353000,1094.482421875
1702961450000,1060.546875,1702961533000,1094.23828125
1702961630000,1061.03515625,1702961713000,1095.947265625
1702961810000,1062.255859375,1702961893000,1096.19140625
1702961990000,1058.837890625,1702962073000,1093.75
1702962170000,1058.349609375,1702962253000,1095.703125
1702962350000,1061.03515625,1702962433000,1094.23828125
1702962530000,1060.791015625,1702962613000,1094.970703125
1702962710000,1061.5234375,1702962793000,1094.23828125
1702962890000,1062.98828125,1702962973000,1094.970703125
1702963070000,1061.5234375,1702963153000,1095.21484375
1702963250000,1058.837890625,1702963333000,1093.505859375
1702963430000,1061.03515625,1702963513000,1093.26171875
1702963610000,1061.767578125,1702963693000,1093.505859375
1702963790000,1060.791015625,1702963873000,1096.923828125
1702963970000,1060.302734375,1702964053000,1096.19140625
1702964150000,1058.837890625,1702964233000,1093.505859375
1702964330000,1060.791015625,1702964413000,1095.703125
1702964510000,1060.05859375,1702964593000,1094.7265625
1702964690000,1062.255859375,1702964773000,1095.947265625
1702964870000,1060.05859375,1702964953000,1094.482421875
1702965050000,1061.5234375,1702965133000,1094.23828125
1702965230000,1060.05859375,1702965313000,1093.75
1702965410000,1061.767578125,1702965493000,1093.505859375
1702965590000,1061.279296875,1702965673000,1095.21484375
1702965770000,1060.791015625,1702965853000,1095.458984375
1702965950000,1059.08203125,1702966033000,1092.041015625
1702966130000,1062.255859375,1702966213000,1093.26171875
1702966310000,1059.5703125,1702966393000,1094.970703125
1702966490000,1059.5703125,1702966573000,1094.23828125
1702966670000,1059.5703125,1702966753000,1093.994140625
1702966850000,1060.791015625,1702966933000,1094.23828125
1702967030000,1060.546875,1702967113000,1094.7265625
1702967210000,1061.767578125,1702967293000,1093.26171875
1702967390000,1061.03515625,1702967473000,1093.994140625
1702967570000,1062.255859375,1702967653000,1094.970703125
1702967750000,1062.98828125,1702967833000,1093.994140625
1702967930000,1058.59375,1702968013000,1093.75
1702968110000,1061.03515625,1702968193000,1093.994140625
1702968290000,1058.59375,1702968373000,1094.7265625
1702968470000,1060.302734375,1702968553000,1095.947265625
1702968650000,1060.302734375,1702968733000,1095.458984375
1702968830000,1059.326171875,1702968913000,1094.970703125
1702969010000,1057.861328125,1702969093000,1092.7734375
1702969190000,1060.05859375,1702969273000,1093.994140625
1702969370000,1060.791015625,1702969453000,1093.017578125
1702969550000,1058.837890625,1702969633000,1094.23828125
1702969730000,1059.5703125,1702969813000,1094.23828125
1702969910000,1060.302734375,1702969993000,1093.017578125
1702970090000,1059.326171875,1702970173000,1093.75
1702970270000,1059.08203125,1702970353000,1093.505859375
1702970450000,1059.08203125,1702970533000,1093.994140625
1702970630000,1061.767578125,1702970713000,1095.21484375
1702970810000,1060.791015625,1702970893000,1094.482421875
1702971035000,1059.326171875,1702971073000,1094.482421875
1702971620000,1059.814453125,1702971253000,1095.458984375
1702972205000,1060.302734375,1702971883000,1094.482421875
1702972835000,1059.08203125,1702972468000,1093.017578125
1702973419000,1058.837890625,1702973053000,1093.26171875
1702974004000,1059.08203125,1702973683000,1093.505859375
1702974634000,1058.10546875,1702974268000,1094.23828125
1702975219000,1055.908203125,1702974853000,1092.7734375
1702975804000,1058.59375,1702975483000,1094.7265625
1702976434000,1057.6171875,1702976068000,1092.28515625
1702977019000,1058.349609375,1702976653000,1094.23828125
1702977604000,1058.349609375,1702977283000,1092.7734375
1702978234000,1057.373046875,1702977868000,1091.552734375
1702978819000,1057.6171875,1702978453000,1091.552734375
1702979404000,1057.6171875,1702979083000,1091.30859375
1702980034000,1056.396484375,1702979668000,1093.505859375
1702980619000,1057.12890625,1702980253000,1090.087890625
1702981204000,1056.15234375,1702980883000,1092.7734375
1702981834000,1056.15234375,1702981468000,1092.28515625
1702982419000,1056.396484375,1702982053000,1091.796875
1702991426000,1393.06640625,1702982683000,1091.796875
1702991464000,1393.06640625,1702991097000,1348.876953125
1702991644000,1352.294921875,1702991277000,1323.73046875
1702991824000,1294.677734375,1702991457000,1321.044921875
1702992004000,1288.57421875,1702991637000,1334.47265625
1702992184000,1287.59765625,1702991817000,1324.70703125
1702992364000,1340.576171875,1702991997000,1327.1484375
1702992544000,1299.072265625,1702992177000,1314.208984375
1702992724000,1294.43359375,1702992357000,1314.94140625
1702992904000,1369.140625,1702992537000,1356.4453125
1702993084000,1362.3046875,1702992717000,1344.7265625
1702993264000,1325.439453125,1702992897000,1372.55859375
1702993444000,1328.125,1702993077000,1311.279296875
1702993624000,1375.48828125,1702993257000,1343.26171875
1702993804000,1371.826171875,1702993437000,1358.88671875
1702993984000,1336.42578125,1702993617000,1342.7734375
1702994164000,1330.322265625,1702993797000,1357.91015625
1702994344000,1338.134765625,1702993977000,1346.435546875
1702994524000,1369.873046875,1702994157000,1361.81640625
1702994704000,1358.642578125,1702994337000,1335.205078125
1702994884000,1351.806640625,1702994517000,1379.638671875
1702995064000,1360.107421875,1702994697000,1359.619140625
1702995244000,1363.28125,1702994877000,1352.783203125
1702995424000,1318.603515625,1702995057000,1369.384765625
1702995604000,1292.48046875,1702995237000,1370.849609375
1702995784000,1479.4921875,1702995417000,1358.154296875
1702995964000,1357.666015625,1702995597000,1321.044921875
1702996144000,1376.220703125,1702995777000,1335.44921875
1702996324000,1330.810546875,1702995957000,1330.322265625
1702996504000,1352.783203125,1702996137000,1364.2578125
1702996684000,1374.267578125,1702996317000,1370.1171875
1702996864000,1369.384765625,1702996497000,1340.33203125
1702997044000,1311.03515625,1702996677000,1343.26171875
1702997224000,1322.75390625,1702996857000,1324.21875
1702997404000,1324.462890625,1702997037000,1341.30859375
1702997584000,1366.455078125,1702997217000,1344.7265625
1702997764000,1329.58984375,1702997397000,1361.81640625
1702997944000,1386.23046875,1702997577000,1347.16796875
1702998124000,1369.62890625,1702997757000,1346.19140625
1702998304000,1330.078125,1702997937000,1329.1015625
1702998484000,1310.791015625,1702998117000,1329.1015625
1702998664000,1362.3046875,1702998297000,1347.16796875
1702998844000,1333.984375,1702998477000,1347.412109375
1702999024000,1366.69921875,1702998657000,1322.509765625
1702999204000,1333.984375,1702998837000,1367.1875
1702999384000,1320.556640625,1702999017000,1357.91015625
1702999564000,1381.8359375,1702999197000,1350.830078125
1702999744000,1340.576171875,1702999377000,1404.541015625
1702999924000,1306.396484375,1702999557000,1378.173828125
1703000104000,1314.94140625,1702999737000,1358.642578125
1703000284000,1333.0078125,1702999917000,1344.970703125
1703000464000,1303.22265625,1703000097000,1342.7734375
1703000644000,1315.185546875,1703000277000,1329.345703125
1703000823000,1330.56640625,1703000457000,1339.111328125
